title,price,projectId
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
Beach House,-500000,PRJ003
Penthouse,0,PRJ004
Apartment,450000,
Studio,abc,PRJ005
Townhouse,700000,PRJ006
null,800000,PRJ007
Mansion,1500000,PRJ008
Luxury Villa,1200000,PRJ001
,250000,PRJ002
